BveTs Vehicle Performance Table 1.00,
#,
5,9274.25
25,37097
26,37097
27,37097
28,37097
29,37097
30,37097
31,37097
32,37097
33,37097
34,37097
35,37097
36,37097
37,37097
38,37097
39,37097
40,37097
41,37097
42,37097
43,37097
44,37097
45,37097
46,37097
47,37097
48,37097
49,37097
50,37097
51,37097
52,37097
53,37097
54,37097
55,37097
56,37097
57,37097
58,37097
59,37097
60,37097
61,37097
62,37097
63,37097
64,37097
65,37097
66,37097
67,37097
68,37097
69,37097
70,37097
71,37097
72,37097
73,36670.61609
74,35724.79901
75,34814.39575
76,33937.69582
77,33093.08854
78,32279.05632
79,31494.16838
80,30737.07506
81,30006.50241
82,29301.2473
83,28620.17281
84,27962.20405
85,27326.32413
86,26711.5706
87,26117.03199
88,25541.84469
89,24985.19003
90,24446.2915
91,23924.41225
92,23418.85274
93,22928.94846
94,22454.06796
95,21993.61086
96,21547.00609
97,21113.71021
98,20693.20584
99,20285.0002
100,19888.62371
101,19503.62875
102,19129.58842
103,18766.09545
104,18412.76107
105,18069.21412
106,17735.10003
107,17410.07998
108,17093.83008
109,16786.04059
110,16486.41519
111,16194.6703
112,15910.53443
113,15633.74757
114,15364.06064
115,15101.2349
116,14845.04152
117,14595.26101
118,14351.68282
119,14114.10492
120,13882.33334
121,13656.18186
122,13435.47158
123,13220.03062
124,13009.69378
125,12804.30225
126,12603.70327
127,12407.74993
128,12216.30085
129,12029.21994
130,11846.37619
131,11667.64344
132,11492.90015
133,11322.02919
134,11154.91771
135,10991.45689
136,10831.5418
137,10675.07122
138,10521.94752
139,10372.07646
140,10225.36709
141,10081.73159
142,9941.085153
143,9803.345862
144,9668.434572
145,9536.274797
146,9406.792607
147,9279.916525
148,9155.577431
149,9033.70847
150,8914.244963
151,8797.124326
152,8682.285983
153,8569.671299
154,8459.223497
155,8350.887595
156,8244.610333
157,8140.340115
158,8038.026941
159,7937.622353
160,7839.079379
